Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Sarr,Watford,Watford,"LAMF, CF, RAMF",24,22000000,2024-06-30,27,2467,8,9.36,4,3.25,19.15,40.19,Senegal,Senegal,right,185,76,no,3.98,3.1,61.18,2.74,26.67,0.07,0.11,0.15,2.01,2.92,0.36,0,0,0,0,4.6,0.29,7,0.26,0.34,2,0.07,55,2.01,41.82,14.545,0.15,1.9,30.77,0.99,44.44,0.88,16.67,0.22,5.47,53.33,10.73,41.84,3.58,2.26,0.88,15.21,1.28,2.04,20.5,78.11,4.12,76.11,5.84,88.75,5.84,76.25,18.2,83.77,0.62,52.94,15.94,21.83,0.12,0.69,0.07,0,0.36,70,0.44,1.17,81.25,1.61,65.91,0.33,55.56,1.09,0.47,2.48,72.06,0,,0,,0,0,0,0,,,0,,,0,0,0,0.18,2,50
João Pedro,Watford,Watford,"AMF, CF",21,20000000,2028-06-30,23,1868,9,5.11,1,1.89,28.86,41.9,Brazil,Brazil,right,182,70,no,5.83,5.16,54.21,3.9,48.15,0.1,0.14,0.05,2.94,4.37,0.92,4,0.19,0,0,5.64,0.43,8,0.39,0.25,2,0.1,43,2.07,41.86,20.93,0.05,1.93,35,1.35,42.86,0.58,16.67,0.43,6.89,51.05,15.75,40.67,2.36,3.28,1.11,23.8,1.2,2.07,35.94,75.74,10.99,62.28,8.53,92.66,9.59,75.88,31.61,80.34,2.51,48.08,16.9,31.45,0.09,1.01,0.05,0.1,1.59,36.36,0.63,5.69,63.56,3.81,49.37,2.31,35.42,1.69,0.67,5.49,82.46,0,,0,,0,0,0,0,,,0.24,,,0.63,0.14,0,1.35,1,100
M. Aarons,Norwich City,Norwich City,RB,23,18000000,2024-06-30,30,2780,1,0.74,2,2.89,18.26,48.23,England,"England, Jamaica",right,178,69,no,8.32,6.67,62.14,1.52,42.55,0.06,0.1,0.39,4.11,6.49,0.62,6,0.19,0,0,3.3,0.03,1,0.03,0.02,0,0,12,0.39,25,8.333,0.06,2.53,38.46,0.03,100,2.46,36.84,0.32,4.11,50.39,8.26,40.78,1.29,4.11,1.36,35.74,3.01,1.29,47.01,82.92,15.93,72.36,8.61,94.36,14.44,88.57,40.56,89.23,3.95,45.9,18.37,34.45,0.09,0.71,0,0.03,0.26,62.5,0.55,5.31,73.17,2.78,59.3,0.49,33.33,0.94,0.97,9.58,73.65,0,,0,,0,0,0,0,,,0.81,,,0,0,0,0,0,0
B. Brereton Díaz,Blackburn Rovers,Blackburn Rovers,"LAMF, CF, LW",23,16000000,2023-06-30,29,2687,9,7.48,3,2.87,16.68,32.93,England,"England, Chile",right,185,80,no,3.62,3.35,51,1.81,27.78,0.1,0.13,0.1,1.81,2.29,0.6,4,0.13,0,0,2.85,0.3,8,0.27,0.25,0,0,72,2.41,38.89,12.5,0.1,0.8,37.5,0.57,41.18,0.23,28.57,0.03,2.95,48.86,9.14,31.14,3.22,1.98,1.24,18.25,2.88,0.8,22.54,78.75,4.25,64.57,6.03,91.11,7.57,80.09,20.4,82.27,1.41,50,16.62,33.69,0.1,0.74,0,0,0.47,35.71,0.5,1.61,50,1.34,50,0.57,29.41,0.8,0.3,3.15,58.51,0,,0,,0,0,0,0,,,0.03,,,0.1,0.1,66.67,0.03,1,100
S. Berge,Sheffield United,Sheffield United,RCMF,25,16000000,2024-06-30,21,1980,5,2.69,3,1.64,18.36,53.22,Norway,Norway,right,195,96,no,6.14,4.82,66.98,3.36,48.65,0,0,0.36,2.91,4.34,0.77,1,0.05,0,0,4.05,0.23,5,0.23,0.12,0,0,28,1.27,28.57,17.857,0.14,2.86,30.16,0.32,28.57,2.5,30.91,0.64,4.27,61.7,7.82,48.84,2.82,2.23,0.73,21.27,0.36,0.64,33.59,80.65,8.86,76.92,6.64,88.36,12.27,84.81,29.27,86.96,1.5,54.55,18.08,28.03,0.07,0.77,0.05,0.09,0.45,40,0.45,3.82,83.33,2.82,61.29,0.41,33.33,1.14,0.91,5.32,78.63,0,,0,,0,0,0,0,,,0.23,,,0.05,0.05,0,0,0,0
T. Harwood-Bellis,Burnley,Burnley,RCB,21,13000000,2024-06-30,26,2549,1,2.07,2,0.52,12.39,61.54,England,England,right,188,73,yes,8.62,4.31,71.31,5.23,56.08,0.25,0.45,0.56,5.3,9.7,0.32,4,0.14,0,0,0.42,0.04,1,0.04,0.07,1,0.04,12,0.42,58.33,8.333,0.07,0.14,25,0.07,50,0.07,0,0,0.28,50,0.74,52.38,0.56,2.01,0.18,53.32,0.25,0.21,70.72,87.12,27.4,75.13,2.51,92.96,36.51,95.65,60.52,92.88,10.06,53.33,23.39,42.65,0.02,0.14,0.04,0,0.14,0,0.11,10.24,65.17,1.06,20,1.31,21.62,0.25,0.11,12.78,71.55,0,,0,,0,0,0,0,,,1.48,,,0,0,0,0,0,0
J. Sargent,Norwich City,Norwich City,"CF, RWF, RAMF",22,12000000,2025-06-30,29,2463,11,8.8,2,3.17,23.86,39.2,United States,United States,right,185,79,no,4.79,4.46,56.56,5.96,39.26,0.22,0.34,0.11,2.05,3.15,0.99,1,0.04,0,0,3.07,0.4,11,0.4,0.32,2,0.07,61,2.23,55.74,18.033,0.07,0.73,30,0.26,57.14,0.44,16.67,0.07,2.92,50,8.7,34.87,4.17,1.35,0.73,13.34,1.64,1.32,19,79.62,3.47,63.16,6.03,91.52,3.76,81.55,17.98,82.52,0.33,22.22,13.8,10.01,0.12,0.91,0.11,0,0.4,36.36,0.37,1.17,71.88,0.99,51.85,0.37,30,0.8,0.22,1.79,59.18,0,,0,,0,0,0,0,,,0.04,,,0,0,0,0,0,0
A. Ahmedhodzic,Sheffield United,Sheffield United,RCB,23,10000000,2026-06-30,24,2191,4,2.36,2,0.83,18.36,59.73,Sweden,"Sweden, Bosnia and Herzegovina",right,190,84,no,10.68,7.6,68.65,4.15,56.44,0.62,0.9,0.29,4.85,7.09,1.03,8,0.33,0,0,1.07,0.16,4,0.16,0.1,2,0.08,23,0.94,30.43,17.391,0.08,1.03,20,0.04,100,0.94,17.39,0.16,0.94,52.17,2.46,36.67,1.89,2.63,0.7,18.98,0.99,0.7,33.19,78.96,12.77,66.88,4.44,95.37,10.15,87.85,28.63,84.65,3.57,49.43,17.88,31.09,0.03,0.37,0.04,0.04,0.16,50,0.33,4.27,56.73,1.31,31.25,0.12,66.67,0.41,0.29,5.79,63.12,0,,0,,0,0,0,0,,,0.99,,,0,0,0,0,0,0
I. Chair,Queens Park Rangers,Queens Park Rangers,"AMF, LWF, LW",25,10000000,2025-06-30,30,2690,4,6.88,6,7.35,18.74,44.46,Belgium,"Belgium, Morocco",right,158,53,no,4.12,3.38,57.43,0.84,20,0.1,0.15,0,2.07,3.04,0.67,1,0.03,0,0,7.23,0.13,4,0.13,0.23,0,0,85,2.84,31.76,4.706,0.2,4.32,30.23,2.74,32.93,1.57,25.53,0.74,8.06,56.43,12.58,45.74,2.88,3.14,1.84,29.07,0.97,0.64,40.22,80.12,9.94,72.05,9.94,94.61,12.35,75.88,33.56,88.04,2.54,57.89,17.38,38.44,0.25,2.28,0.1,0,1.2,38.89,0.6,5.12,73.2,4.32,48.06,1.37,43.9,1.41,1.34,6.02,78.33,0,,0,,0,0,0,0,,,0.1,,,1.91,0.33,60,3.45,1,0
I. Maatsen,Burnley,Burnley,LB,20,9000000,2024-06-30,26,2351,4,1.09,4,3.53,16.88,48.98,Netherlands,"Netherlands, Suriname",left,167,57,yes,9.15,7.16,59.89,1.91,32,0.57,1.03,0.04,4.29,7.67,0.96,4,0.15,1,0.04,2.79,0.15,4,0.15,0.04,0,0,24,0.92,37.5,16.667,0.15,2.53,31.82,2.34,32.79,0.19,20,0.61,2.45,57.81,5.47,45.45,0.96,2.91,1.8,45.06,2.76,0.84,58.03,83.91,17.23,70.67,10.99,98.95,20.71,87.25,51.37,90.01,4.4,40.87,19.85,41.25,0.14,0.92,0.04,0.04,0.42,54.55,0.61,8.19,70.56,3.1,39.51,0.96,40,0.92,0.96,9.99,71.26,0,,0,,0,0,0,0,,,1.23,,,0.11,0.08,50,0.34,0,0
